name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Avenue des Gobelins,0,2570,0,1,1,18.68,2,30,,secondary,4,"LINESTRING (2.3552021 48.8319731, 2.3553095 48.8318207)",bike,0,0,,
Place des Alpes,1,2573,2,3,1,2.14,,30,,residential,6,"LINESTRING (2.3585751 48.8321636, 2.3585526 48.8321759)",bike,0,0,,
Place des Alpes,2,2573,3,4,1,10.91,,30,,residential,6,"LINESTRING (2.3585526 48.8321759, 2.3585128 48.8321887, 2.3584786 48.8321930, 2.3584439 48.8321921, 2.3584104 48.8321859)",bike,0,0,,
Place des Alpes,3,2573,4,5,1,12.91,,30,,residential,6,"LINESTRING (2.3584104 48.8321859, 2.3583795 48.8321747, 2.3583534 48.8321591, 2.3583335 48.8321400, 2.3583209 48.8321183, 2.3583162 48.8320953)",bike,0,0,,
Place des Alpes,4,2573,5,6,1,13.61,,30,,residential,6,"LINESTRING (2.3583162 48.8320953, 2.3583204 48.8320705, 2.3583338 48.8320472, 2.3583555 48.8320268, 2.3583828 48.8320112, 2.3584149 48.8320004)",bike,0,0,,
Place des Alpes,5,2573,6,7,1,27.68,,30,,residential,6,"LINESTRING (2.3584149 48.8320004, 2.3584612 48.8319943, 2.3585082 48.8319979, 2.3585511 48.8320109, 2.3585858 48.8320319, 2.3586091 48.8320590, 2.3586184 48.8320894, 2.3586131 48.8321203, 2.3585936 48.8321486)",bike,0,0,,
Place des Alpes,6,2573,7,2,1,2.15,,30,,residential,6,"LINESTRING (2.3585936 48.8321486, 2.3585751 48.8321636)",bike,0,0,,
Rue Taine,7,2574,8,9,1,91.91,2,30,,tertiary,5,"LINESTRING (2.3940827 48.8391362, 2.3938534 48.8389894, 2.3938144 48.8389652, 2.3931833 48.8385607)",bike,0,0,,
Rue Taine,8,2574,9,10,1,154.21,2,30,,tertiary,5,"LINESTRING (2.3931833 48.8385607, 2.3930985 48.8385066, 2.3916640 48.8376023)",bike,0,0,,
Rue Saint-Louis en l'Île,9,286314,11,12,1,6.35,1,30,,residential,6,"LINESTRING (2.3600926 48.8504082, 2.3600720 48.8504637)",bike,1,0,,
Rue Saint-Louis en l'Île,10,286314,12,11,1,6.35,1,30,,residential,6,"LINESTRING (2.3600720 48.8504637, 2.3600926 48.8504082)",bike,1,0,,
Quai de Bourbon,11,286537,13,14,1,117.37,1,20,,living_street,7,"LINESTRING (2.3567364 48.8525484, 2.3552992 48.8530123)",bike,0,0,,
Quai de Bourbon,12,286537,14,15,1,105.29,1,20,,living_street,7,"LINESTRING (2.3552992 48.8530123, 2.3552337 48.8530334, 2.3540958 48.8533980, 2.3540036 48.8534190)",bike,0,0,,
Quai de Bourbon,13,286537,15,16,1,130.67,1,20,,living_street,7,"LINESTRING (2.3540036 48.8534190, 2.3539021 48.8534422, 2.3533393 48.8535992, 2.3533259 48.8536022, 2.3533120 48.8536027, 2.3533035 48.8536014, 2.3532956 48.8535987, 2.3532897 48.8535955, 2.3532844 48.8535912, 2.3531754 48.8534470, 2.3531653 48.8534282, 2.3531651 48.8534090, 2.3532860 48.8529556)",bike,0,0,,
Rue Jean du Bellay,14,286538,17,18,1,11.92,1,20,,living_street,7,"LINESTRING (2.3533008 48.8528801, 2.3533224 48.8527738)",bike,0,0,,
Quai de Béthune,15,286539,19,20,1,131.94,1,20,,living_street,7,"LINESTRING (2.3559179 48.8511377, 2.3560443 48.8510917, 2.3564514 48.8509437, 2.3575168 48.8505947)",bike,0,0,,
Quai de Béthune,16,286539,20,21,1,82.14,1,20,,living_street,7,"LINESTRING (2.3575168 48.8505947, 2.3575983 48.8505672, 2.3584541 48.8502818, 2.3585159 48.8502611)",bike,0,0,,
Quai de Béthune,17,286539,21,22,1,33.86,1,20,,living_street,7,"LINESTRING (2.3585159 48.8502611, 2.3585858 48.8502383, 2.3588479 48.8501463, 2.3589237 48.8501185)",bike,0,0,,
Quai de Béthune,18,286539,22,23,1,1.25,1,20,,living_street,7,"LINESTRING (2.3589237 48.8501185, 2.3589391 48.8501137)",bike,0,0,,
Quai de Béthune,19,286539,23,24,1,7.57,1,20,,living_street,7,"LINESTRING (2.3589391 48.8501137, 2.3590296 48.8500810)",bike,0,0,,
Rue Saint-Louis en l'Île,20,286540,25,26,1,128.31,1,20,,living_street,7,"LINESTRING (2.3565473 48.8518338, 2.3566321 48.8518044, 2.3580454 48.8512972, 2.3580848 48.8512836)",bike,0,0,,
Rue Saint-Louis en l'Île,21,286540,26,27,1,79.73,1,20,,living_street,7,"LINESTRING (2.3580848 48.8512836, 2.3581337 48.8512667, 2.3589420 48.8509744, 2.3590385 48.8509397)",bike,0,0,,
Rue Saint-Louis en l'Île,22,286541,25,28,1,57.54,1,20,,living_street,7,"LINESTRING (2.3565473 48.8518338, 2.3564690 48.8518597, 2.3558589 48.8520819)",bike,0,0,,
Rue Saint-Louis en l'Île,23,286541,28,29,1,84.99,1,20,,living_street,7,"LINESTRING (2.3558589 48.8520819, 2.3548894 48.8524324, 2.3548420 48.8524483)",bike,0,0,,
Rue Saint-Louis en l'Île,24,286541,29,30,1,57.44,1,20,,living_street,7,"LINESTRING (2.3548420 48.8524483, 2.3547965 48.8524645, 2.3543365 48.8526282, 2.3541528 48.8526936)",bike,0,0,,
Rue Saint-Louis en l'Île,25,286541,30,31,1,52.37,1,20,,living_street,7,"LINESTRING (2.3541528 48.8526936, 2.3536022 48.8528946, 2.3535281 48.8529217)",bike,0,0,,
Rue Jean du Bellay,26,286543,15,31,1,65.4,1,20,,living_street,7,"LINESTRING (2.3540036 48.8534190, 2.3539321 48.8533559, 2.3535679 48.8529645, 2.3535281 48.8529217)",bike,1,0,,
Rue Jean du Bellay,27,286543,31,15,1,65.4,1,20,,living_street,7,"LINESTRING (2.3535281 48.8529217, 2.3535679 48.8529645, 2.3539321 48.8533559, 2.3540036 48.8534190)",bike,1,0,,
Pont Saint-Louis,28,286544,32,33,1,7.94,,,,footway,10,"LINESTRING (2.3522069 48.8526464, 2.3523106 48.8526668)",bike,0,0,,
Pont Louis-Philippe,29,286546,15,34,1,6.79,,20,,living_street,7,"LINESTRING (2.3540036 48.8534190, 2.3540590 48.8534679)",bike,0,0,,
Rue Boutarel,30,286547,30,35,1,68.3,1,20,,living_street,7,"LINESTRING (2.3541528 48.8526936, 2.3541261 48.8526626, 2.3537363 48.8521970, 2.3536810 48.8521676)",bike,0,0,,
Rue Budé,31,286548,28,36,1,93.21,1,20,,living_street,7,"LINESTRING (2.3558589 48.8520819, 2.3558327 48.8520504, 2.3552851 48.8513865, 2.3552545 48.8513444)",bike,0,0,,
Rue des Deux Ponts,32,286549,37,25,1,77.68,1,30,,tertiary,5,"LINESTRING (2.3570633 48.8524440, 2.3570270 48.8523977, 2.3565917 48.8518829, 2.3565473 48.8518338)",bike,0,0,,
Pont de la Tournelle,33,286550,38,39,1,5.34,,30,,tertiary,5,"LINESTRING (2.3548750 48.8499760, 2.3549126 48.8500171)",bike,1,0,,
Pont de la Tournelle,34,286550,39,38,1,5.34,,30,,tertiary,5,"LINESTRING (2.3549126 48.8500171, 2.3548750 48.8499760)",bike,1,0,,
Pont de la Tournelle,35,286550,39,40,1,18.29,,30,,tertiary,5,"LINESTRING (2.3549126 48.8500171, 2.3549639 48.8500727, 2.3550416 48.8501579)",bike,1,0,,
Pont de la Tournelle,36,286550,40,39,1,18.29,,30,,tertiary,5,"LINESTRING (2.3550416 48.8501579, 2.3549639 48.8500727, 2.3549126 48.8500171)",bike,1,0,,
Pont Marie,37,286551,41,37,1,7.29,,30,,tertiary,5,"LINESTRING (2.3571090 48.8525022, 2.3570930 48.8524806, 2.3570633 48.8524440)",bike,0,0,,
Rue Poulletier,38,286552,20,26,1,87.18,1,20,,living_street,7,"LINESTRING (2.3575168 48.8505947, 2.3575557 48.8506394, 2.3580589 48.8512532, 2.3580848 48.8512836)",bike,0,0,,
Rue de Bretonvilliers,39,286553,42,21,1,72.85,1,20,,living_street,7,"LINESTRING (2.3589605 48.8508471, 2.3585500 48.8503079, 2.3585159 48.8502611)",bike,0,0,,
Pont de Sully,40,286554,43,44,1,5.83,2,30,,primary,3,"LINESTRING (2.3567895 48.8494029, 2.3568639 48.8494213)",bike,0,0,,
Pont de Sully,41,286554,44,45,1,11.76,2,30,,primary,3,"LINESTRING (2.3568639 48.8494213, 2.3569605 48.8494486, 2.3570092 48.8494657)",bike,0,0,,
Boulevard Henri IV,42,286555,46,24,1,5.72,2,30,,primary,3,"LINESTRING (2.3589592 48.8500588, 2.3590296 48.8500810)",bike,0,0,,
Rue Fagon,43,1345035,47,4,1,157.01,,30,,residential,6,"LINESTRING (2.3564892 48.8328074, 2.3566450 48.8327570, 2.3566598 48.8327522, 2.3567550 48.8327214, 2.3583038 48.8322198, 2.3584104 48.8321859)",bike,1,0,,
Rue Fagon,44,1345035,4,47,1,157.01,,30,,residential,6,"LINESTRING (2.3584104 48.8321859, 2.3583038 48.8322198, 2.3567550 48.8327214, 2.3566598 48.8327522, 2.3566450 48.8327570, 2.3564892 48.8328074)",bike,1,0,,
Rue Monge,45,2114249,48,49,1,31.68,2,30,,secondary,4,"LINESTRING (2.3507157 48.8385973, 2.3507282 48.8386615, 2.3507653 48.8387439, 2.3508181 48.8388736)",bike,0,0,,
Rue des Fossés Saint-Bernard,46,2114251,50,51,1,25.42,2,30,,tertiary,5,"LINESTRING (2.3558724 48.8491657, 2.3560506 48.8492647, 2.3561063 48.8493300)",bike,0,0,,
Rue d'Arras,47,2114252,52,53,1,82.96,,30,,residential,6,"LINESTRING (2.3512394 48.8471299, 2.3513203 48.8471893, 2.3519140 48.8476155, 2.3520067 48.8476780)",bike,0,0,,
