name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,7223004840,,,,,,,2.3552021,48.8319731,,,
,1,361709,,,,,,,2.3553095,48.8318207,,,
,2,6865885341,,,,,,,2.3585751,48.8321636,,,
,3,361795,,,,,,,2.3585526,48.8321759,,,
,4,361744,,,,,,,2.3584104,48.8321859,,,
,5,15859522,,,,,,,2.3583162,48.8320953,,,
,6,361745,,,,,,,2.3584149,48.8320004,,,
,7,1928023434,,,,,,,2.3585936,48.8321486,,,
,8,5467645835,,,,,,,2.3940827,48.8391362,,,
,9,15378840,traffic_signals,,signal,,,,2.3931833,48.8385607,,,
,10,10989160472,,,,,,,2.391664,48.8376023,,,
,11,218267571,,,,,,,2.3600926,48.8504082,,,
,12,4958110958,,,,,,,2.360072,48.8504637,,,
,13,10926075539,,,,,,,2.3567364,48.8525484,,,
,14,382063,,,,,,,2.3552992,48.8530123,,,
,15,382064,,,,,,,2.3540036,48.853419,,,
,16,696051707,crossing,,,,,,2.353286,48.8529556,,,
,17,382067,,,,,,,2.3533008,48.8528801,,,
,18,696050839,crossing,,,,,,2.3533224,48.8527738,,,
,19,382071,,,,,,,2.3559179,48.8511377,,,
,20,382072,,,,,,,2.3575168,48.8505947,,,
,21,382073,,,,,,,2.3585159,48.8502611,,,
,22,376059011,traffic_signals,,signal,,,,2.3589237,48.8501185,,,
,23,4958110960,,,,,,,2.3589391,48.8501137,,,
,24,382074,,,,,,,2.3590296,48.850081,,,
,25,382077,,,,,,,2.3565473,48.8518338,,,
,26,382080,,,,,,,2.3580848,48.8512836,,,
,27,382081,,,,,,,2.3590385,48.8509397,,,
,28,382079,,,,,,,2.3558589,48.8520819,,,
,29,382078,,,,,,,2.354842,48.8524483,,,
,30,382082,,,,,,,2.3541528,48.8526936,,,
,31,382076,,,,,,,2.3535281,48.8529217,,,
,32,368125,,,,,,,2.3522069,48.8526464,,,
,33,218251013,,,,,,,2.3523106,48.8526668,,,
,34,247596080,,,,,,,2.354059,48.8534679,,,
,35,382068,,,,,,,2.353681,48.8521676,,,
,36,382070,,,,,,,2.3552545,48.8513444,,,
,37,382062,,,,,,,2.3570633,48.852444,,,
,38,368145,traffic_signals,,signal,,,,2.354875,48.849976,,,
,39,6220939814,,,,,,,2.3549126,48.8500171,,,
,40,247631372,,,,,,,2.3550416,48.8501579,,,
,41,10832534950,,,,,,,2.357109,48.8525022,,,
,42,1597826738,,,,,,,2.3589605,48.8508471,,,
,43,368146,traffic_signals,,signal,,,,2.3567895,48.8494029,,,
,44,7019643770,,,,,,,2.3568639,48.8494213,,,
,45,6959718360,,,,,,,2.3570092,48.8494657,,,
,46,247431296,,,,,,,2.3589592,48.8500588,,,
,47,361747,traffic_signals,,signal,,,,2.3564892,48.8328074,,,
,48,361041,,,,,,,2.3507157,48.8385973,,,
,49,25034117,traffic_signals,,signal,,,,2.3508181,48.8388736,,,
,50,25101543,,,,,,,2.3558724,48.8491657,,,
,51,664256922,traffic_signals,,signal,,,,2.3561063,48.84933,,,
,52,361059,,,,,,,2.3512394,48.8471299,,,
,53,25034403,,,,,,,2.3520067,48.847678,,,
,54,256589459,traffic_signals,,signal,,,,2.362358,48.8679492,,,
,55,7072397118,,,,,,,2.3627821,48.8682943,,,
,56,1498644888,crossing,,,,,,2.3703224,48.8531146,,,
,57,2559177756,,,,,,,2.3722953,48.8513284,,,
,58,1334906646,,,,,,,2.3723092,48.8513165,,,
,59,332481347,,,,,,,2.3729419,48.8507738,,,
,60,248494025,,,,,,,2.3731817,48.8505629,,,
,61,207281263,,,,,,,2.3737669,48.8500645,,,
,62,14950166,traffic_signals,,signal,,,,2.3742867,48.8496144,,,
,63,390034,traffic_signals,,signal,,,,2.3928506,48.8480382,,,
,64,24664155,,,,,,,2.3905698,48.8477817,,,
,65,361715,traffic_signals,,signal,,,,2.3558122,48.8318418,,,
,66,361740,traffic_signals,,signal,,,,2.3560813,48.8322428,,,
,67,21648574,traffic_signals,,signal,,,,2.356594,48.8397034,,,
,68,21648575,,,,,,,2.3581254,48.8399885,,,
,69,361735,,,,,,,2.3581678,48.8313954,,,
,70,2301475507,traffic_signals,,signal,,,,2.3582512,48.8312791,,,
,71,15435233,,,,,,,2.3601118,48.8294625,,,
,72,361736,,,,,,,2.3599732,48.8319952,,,
,73,2264971749,,,,,,,2.3608069,48.8312792,,,
,74,792956,,,,,,,2.3611254,48.8310148,,,
,75,2140279449,,,,,,,2.3619317,48.8304092,,,
,76,792954,,,,,,,2.362211,48.830241,,,
,77,644147,traffic_signals,,signal,,,,2.3621891,48.8327307,,,
,78,2264971741,crossing,,,,,,2.3622642,48.8326632,,,
,79,2301514744,,,,,,,2.3626819,48.8323508,,,
,80,361769,,,,,,,2.3634307,48.8317901,,,
,81,792958,,,,,,,2.3636711,48.8315837,,,
,82,792961,,,,,,,2.364868,48.8323844,,,
,83,506368934,,,,,,,2.3637337,48.8316239,,,
,84,1689016,,,,,,,2.3743874,48.8310482,,,
,85,1689013,,,,,,,2.371798,48.8297197,,,
,86,368093,traffic_signals,,signal,,,,2.3736544,48.8375695,,,
,87,5936315383,,,,,,,2.3735405,48.8375226,,,
,88,976277716,crossing,,,,,,2.3732986,48.8374172,,,
,89,361733,traffic_signals,,signal,,,,2.3550299,48.8322202,,,
,90,361730,traffic_signals,,signal,,,,2.3543524,48.8311993,,,
,91,361731,,,,,,,2.3543662,48.8317002,,,
,92,769869043,,,,,,,2.3544011,48.8317685,,,
,93,361752,,,,,,,2.3555283,48.8328501,,,
,94,1981095121,traffic_signals,,signal,,,,2.3546065,48.8328495,,,
,95,361753,,,,,,,2.3555425,48.833208,,,
,96,361044,,,,,,,2.3567612,48.8331727,,,
,97,361748,,,,,,,2.3588028,48.8325125,,,
,98,361749,,,,,,,2.3593046,48.8331875,,,
,99,15859519,,,,,,,2.3603427,48.8337716,,,
,100,1232772852,,,,,,,2.3343896,48.8733804,,,
,101,94219781,,,,,,,2.3353155,48.8736231,,,
,102,1227287667,,,,,,,2.3362923,48.8738753,,,
,103,94161176,,,,,,,2.3373359,48.8741376,,,
,104,11370679488,,,,,,,2.3580601,48.879623,,,
,105,577328474,traffic_signals,,signal,,,,2.3571878,48.879524,,,
,106,361112,traffic_signals,,signal,,,,2.3494771,48.8838548,,,
,107,94233621,,,,,,,2.3482456,48.8837149,,,
,108,367932,traffic_signals,,signal,,,,2.3469998,48.8835576,,,
,109,19722931,traffic_signals,,signal,,,,2.3294502,48.884409,,,
,110,7035510220,,,,,,,2.3298791,48.8843162,,,
,111,430799,traffic_signals,,signal,,,,2.3692103,48.8825102,,,
,112,621248624,,,,,,,2.3691153,48.8823923,,,
,113,17809163,,,,,,,2.3688858,48.866331,,,
,114,9688784926,,,,,,,2.3689275,48.8662782,,,
,115,17809162,,,,,,,2.369425,48.8656147,,,
,116,151358219,,,,,,,2.3701149,48.8647166,,,
,117,17809161,,,,,,,2.3706775,48.8639984,,,
,118,2250942966,crossing,,,,,,2.3712296,48.8632968,,,
,119,368252,,,,,,,2.3219639,48.8666176,,,
,120,1212027401,,,,,,,2.3220891,48.8667885,,,
,121,4720234391,,,,,,,2.3395942,48.8720689,,,
,122,7572331128,,,,,,,2.3391995,48.871836,,,
,123,25273208,traffic_signals,,signal,,,,2.3329031,48.8692609,,,
,124,689143329,,,,,,,2.3330281,48.8689761,,,
,125,25273207,,,,,,,2.3331032,48.8687956,,,
,126,398800,traffic_signals,,signal,,,,2.3331307,48.8687213,,,
,127,25273205,,,,,,,2.3335525,48.8677459,,,
,128,25207339,traffic_signals,,signal,,,,2.3336619,48.8675112,,,
,129,25273197,traffic_signals,,signal,,,,2.3326949,48.8645633,,,
,130,682347926,,,,,,,2.3330452,48.8650325,,,
,131,338667206,,,,,,,2.3332754,48.8653416,,,
,132,25273196,traffic_signals,,signal,,,,2.3335858,48.8657588,,,
,133,682294040,,,,,,,2.3338206,48.8660684,,,
,134,682294054,traffic_signals,,signal,,,,2.3341623,48.8663093,,,
,135,15643084,,,,,,,2.3381621,48.8712061,,,
,136,15643085,,,,,,,2.3395415,48.8709213,,,
,137,1233136959,crossing,,,,,,2.3398264,48.8757868,,,
,138,94173784,traffic_signals,,signal,,,,2.3395231,48.8750658,,,
,139,7653304751,,,,,,,2.3393683,48.8747192,,,
,140,398767,,,,,,,2.3393461,48.8746674,,,
,141,21647887,traffic_signals,,signal,,,,2.3577985,48.8345661,,,
,142,8327957147,,,,,,,2.3579417,48.8345341,,,
,143,644154,,,,,,,2.3598546,48.8339274,,,
,144,644153,crossing,,,,,,2.3612139,48.8334901,,,
,145,644149,,,,,,,2.3613402,48.8334502,,,
,146,356385455,,,,,,,2.362089,48.8328169,,,
,147,644145,traffic_signals,,signal,,,,2.36183,48.8330116,,,
,148,2606206621,,,,,,,2.3616568,48.8332469,,,
,149,644148,,,,,,,2.361469,48.8335273,,,
,150,15859484,,,,,,,2.3598406,48.8358472,,,
