name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,41190566,,,,,,,-111.9765412,33.387129,,,
,1,41190568,,,,,,,-111.9765756,33.3887988,,,
,2,41190571,,,,,,,-111.9765326,33.3906908,,,
,3,41190597,,,,,,,-111.9556206,33.3928475,,,
,4,41190600,,,,,,,-111.9556206,33.3923387,,,
,5,41190606,,,,,,,-111.9551399,33.3897087,,,
,6,3983370746,,,,,,,-111.9552043,33.3900425,,,
,7,41190607,,,,,,,-111.9551914,33.3904182,,,
,8,41190610,,,,,,,-111.9551828,33.3911491,,,
,9,41190613,turning_circle,,,,,,-111.9551571,33.3923244,,,
,10,41190619,turning_circle,,,,,,-111.9552746,33.3873886,,,
,11,3682776682,,,,,,,-111.9552424,33.3869832,,,
,12,41190622,,,,,,,-111.9552086,33.3865984,,,
,13,41190628,,,,,,,-111.9569264,33.3714005,,,
,14,2376762239,,,,,,,-111.9566854,33.3717335,,,
,15,41190631,,,,,,,-111.9564543,33.3720528,,,
,16,2376762262,,,,,,,-111.956252,33.3723082,,,
,17,41190634,,,,,,,-111.9561584,33.3723989,,,
,18,41190644,,,,,,,-111.9558304,33.3726506,,,
,19,41190651,,,,,,,-111.9581995,33.3707565,,,
,20,41190654,,,,,,,-111.9572792,33.3716094,,,
,21,41190687,,,,,,,-111.8962446,33.400612,,,
,22,3983108629,,,,,,,-111.89568,33.4006142,,,
,23,41190689,,,,,,,-111.894493,33.4006187,,,
,24,41190693,,,,,,,-111.893678,33.4006219,,,
,25,41190698,,,,,,,-111.8920213,33.4006283,,,
,26,41190707,,,,,,,-111.8962532,33.4002322,,,
,27,41190709,,,,,,,-111.8973054,33.4002384,,,
,28,41190714,,,,,,,-111.8997258,33.4002384,,,
,29,41190717,,,,,,,-111.9005361,33.4002251,,,
,30,41190722,,,,,,,-111.9011792,33.4002337,,,
,31,3983152518,,,,,,,-111.9016887,33.4002365,,,
,32,41190725,,,,,,,-111.9021891,33.4002169,,,
,33,3983152513,,,,,,,-111.9027247,33.4001682,,,
,34,41190728,,,,,,,-111.9031934,33.4001524,,,
,35,3983108623,,,,,,,-111.9036614,33.4001493,,,
,36,41190732,,,,,,,-111.9041338,33.4001515,,,
,37,3983154727,,,,,,,-111.9057799,33.4001506,,,
,38,41190735,,,,,,,-111.9063213,33.4001518,,,
,39,3983154725,,,,,,,-111.906843,33.4001524,,,
,40,41190739,,,,,,,-111.9073825,33.4001524,,,
,41,3983154723,,,,,,,-111.9079163,33.4001524,,,
,42,41190744,,,,,,,-111.9084576,33.400148,,,
,43,41190746,traffic_signals,,signal,,,,-111.909133,33.4001487,,,
,44,41190750,,,,,,,-111.909674,33.400147,,,
,45,41190754,,,,,,,-111.9106696,33.3998786,,,
,46,339012640,,,,,,,-111.9110816,33.3997329,,,
,47,41190758,,,,,,,-111.9116133,33.3995853,,,
,48,41190762,,,,,,,-111.9127316,33.3992751,,,
,49,41190767,,,,,,,-111.9133634,33.3991494,,,
,50,339023791,,,,,,,-111.9134119,33.3991442,,,
,51,41190773,,,,,,,-111.9161644,33.3991081,,,
,52,41190777,turning_circle,,,,,,-111.9167437,33.3992226,,,
,53,41190787,turning_circle,,,,,,-111.9021977,33.4004391,,,
,54,41190806,turning_circle,,,,,,-111.9011792,33.4005112,,,
,55,41190810,turning_circle,,,,,,-111.9084449,33.4005639,,,
,56,41190815,turning_circle,,,,,,-111.9073825,33.4005537,,,
,57,41190820,turning_circle,,,,,,-111.9063128,33.4004413,,,
,58,5200239415,,,,,,,-111.9344308,33.4001595,,,
,59,3983456105,,,,,,,-111.9342778,33.4001617,,,
,60,7478198903,,,,,,,-111.9334443,33.4001738,,,
,61,7478198902,,,,,,,-111.9332061,33.4001773,,,
,62,3841311129,,,,,,,-111.9329143,33.4001815,,,
,63,41190834,,,,,,,-111.9324546,33.4001882,,,
,64,41190837,,,,,,,-111.9306007,33.4002025,,,
,65,41190839,,,,,,,-111.928231,33.4002179,,,
,66,3841332760,,,,,,,-111.9278062,33.400224,,,
,67,41190840,,,,,,,-111.9273563,33.400224,,,
,68,3983456078,,,,,,,-111.9268922,33.4002273,,,
,69,5200239414,,,,,,,-111.9268039,33.4002279,,,
,70,41190864,,,,,,,-111.9050645,33.4011258,,,
,71,41190865,turning_circle,,,,,,-111.9050555,33.4014572,,,
,72,41190902,,,,,,,-111.9734513,33.3918302,,,
,73,41190905,,,,,,,-111.9740521,33.3918302,,,
,74,41190907,,,,,,,-111.9754662,33.3918311,,,
,75,41190911,,,,,,,-111.9759404,33.3908126,,,
,76,41216719,traffic_signals,,signal,,,,-111.9782891,33.4073275,,,
,77,41216716,traffic_signals,,signal,,,,-111.9781846,33.4093419,,,
,78,41233764,,,,,,,-111.9372308,33.3782354,,,
,79,41245365,,,,,,,-111.9372318,33.3794737,,,
,80,9037160808,,,,,,,-111.937233,33.380044,,,
,81,3712581061,,,,,,,-111.9352294,33.3791544,,,
,82,5719679461,,,,,,,-111.9354591,33.3791519,,,
,83,5719679464,,,,,,,-111.935884,33.3791473,,,
,84,4643592686,,,,,,,-111.9361085,33.3791912,,,
,85,8141260056,,,,,,,-111.9362622,33.3792875,,,
,86,8141260059,,,,,,,-111.9364873,33.3793916,,,
,87,8141260060,,,,,,,-111.9367985,33.3794793,,,
,88,8141260063,,,,,,,-111.9370012,33.3794793,,,
,89,6346264385,,,,,,,-111.937354,33.3794708,,,
,90,41245417,,,,,,,-111.9233183,33.3318748,,,
,91,41245420,,,,,,,-111.9228805,33.3314804,,,
,92,41245428,,,,,,,-111.9223999,33.330376,,,
,93,41245432,,,,,,,-111.9227089,33.32958,,,
,94,8387426298,,,,,,,-111.9231728,33.3293802,,,
,95,41245435,,,,,,,-111.9240307,33.329372,,,
,96,41280988,,,,,,,-111.908755,33.3594637,,,
,97,41280990,,,,,,,-111.9081627,33.3599727,,,
,98,41298987,,,,,,,-111.9320793,33.3847713,,,
,99,41298988,turning_circle,,,,,,-111.932083,33.3845928,,,
,100,41330869,,,,,,,-111.9214042,33.3316382,,,
,101,2479791020,,,,,,,-111.9209547,33.3316267,,,
,102,41330885,,,,,,,-111.9208978,33.3347002,,,
,103,41330886,,,,,,,-111.9208863,33.3339193,,,
,104,41330888,,,,,,,-111.9208593,33.3327662,,,
,105,2479791029,,,,,,,-111.9208363,33.3317087,,,
,106,41331491,turning_circle,,,,,,-111.9224771,33.3317672,,,
,107,41331510,turning_circle,,,,,,-111.9230779,33.3303473,,,
,108,41331521,turning_circle,,,,,,-111.9225008,33.3276079,,,
,109,41372709,,,,,,,-111.9240135,33.3317314,,,
,110,41406381,,,,,,,-111.9783144,33.4047966,,,
,111,2293136336,,,,,,,-111.977722,33.4047963,,,
,112,2293136337,,,,,,,-111.9773027,33.404869,,,
,113,41406386,,,,,,,-111.9771649,33.4049159,,,
,114,7641874955,,,,,,,-111.9768457,33.4052064,,,
,115,419358128,,,,,,,-111.9767761,33.4056598,,,
,116,2293136335,,,,,,,-111.9770757,33.4047727,,,
,117,2293136326,,,,,,,-111.9769236,33.4045215,,,
,118,41434272,,,,,,,-111.9470039,33.3582624,,,
,119,41434276,,,,,,,-111.9470045,33.3586501,,,
,120,41448042,,,,,,,-111.9048281,33.3397667,,,
,121,41448046,turning_circle,,,,,,-111.9046658,33.3395154,,,
,122,41463079,,,,,,,-111.9347922,33.3405199,,,
,123,41463081,turning_circle,,,,,,-111.9351724,33.3405236,,,
,124,41990278,,,,,,,-111.9364941,33.3405165,,,
,125,317690443,turning_circle,,,,,,-111.9361422,33.3405165,,,
,126,41493554,,,,,,,-111.9627182,33.3942918,,,
,127,419344188,,,,,,,-111.9627188,33.3939336,,,
,128,41493557,,,,,,,-111.9627208,33.3928351,,,
