name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
West 6th Street,0,5591085,0,1,1,18.04,1,40,,residential,6,"LINESTRING (-111.9412691 33.4243385, -111.9410750 33.4243393)",walk,1,0,,
West 6th Street,1,5591085,1,0,1,18.04,1,40,,residential,6,"LINESTRING (-111.9410750 33.4243393, -111.9412691 33.4243385)",walk,1,0,,
West 6th Street,2,5591085,1,2,1,34.09,1,40,,residential,6,"LINESTRING (-111.9410750 33.4243393, -111.9407083 33.4243409)",walk,1,0,,
West 6th Street,3,5591085,2,1,1,34.09,1,40,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9410750 33.4243393)",walk,1,0,,
West 6th Street,4,5591085,2,3,1,51.91,1,40,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9401499 33.4243445)",walk,1,0,,
West 6th Street,5,5591085,3,2,1,51.91,1,40,,residential,6,"LINESTRING (-111.9401499 33.4243445, -111.9407083 33.4243409)",walk,1,0,,
West 6th Street,6,5591085,3,4,1,7.34,1,40,,residential,6,"LINESTRING (-111.9401499 33.4243445, -111.9400710 33.4243450)",walk,1,0,,
West 6th Street,7,5591085,4,3,1,7.34,1,40,,residential,6,"LINESTRING (-111.9400710 33.4243450, -111.9401499 33.4243445)",walk,1,0,,
East 6th Street,8,5591100,5,6,1,8.58,1,40,,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375411 33.4243581)",walk,1,0,,
East 6th Street,9,5591100,6,5,1,8.58,1,40,,residential,6,"LINESTRING (-111.9375411 33.4243581, -111.9376334 33.4243567)",walk,1,0,,
East 6th Street,10,5591100,6,7,1,17.01,1,40,,residential,6,"LINESTRING (-111.9375411 33.4243581, -111.9373581 33.4243583)",walk,1,0,,
East 6th Street,11,5591100,7,6,1,17.01,1,40,,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9375411 33.4243581)",walk,1,0,,
East 6th Street,12,5591100,7,8,1,55.86,1,40,,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9367572 33.4243590)",walk,1,0,,
East 6th Street,13,5591100,8,7,1,55.86,1,40,,residential,6,"LINESTRING (-111.9367572 33.4243590, -111.9373581 33.4243583)",walk,1,0,,
East 6th Street,14,5591100,8,9,1,8.48,1,40,,residential,6,"LINESTRING (-111.9367572 33.4243590, -111.9366660 33.4243591)",walk,1,0,,
