name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,3101265641,,,,,,,-111.9412691,33.4243385,,,
,1,9934553294,,,,,,,-111.941075,33.4243393,,,
,2,6885482622,,,,,,,-111.9407083,33.4243409,,,
,3,9934553147,,,,,,,-111.9401499,33.4243445,,,
,4,41529740,traffic_signals,,signal,,,,-111.940071,33.424345,,,
,5,2626664037,,,,,,,-111.9376334,33.4243567,,,
,6,6700916759,,,,,,,-111.9375411,33.4243581,,,
,7,6700916754,,,,,,,-111.9373581,33.4243583,,,
,8,5415311336,,,,,,,-111.9367572,33.424359,,,
,9,41529813,,,,,,,-111.936666,33.4243591,,,
,10,5415311335,,,,,,,-111.9365667,33.4243587,,,
,11,,,,,,,,-111.9364,33.4243602,,,boundary node created by osm2gmns
,12,41533533,,,,,,,-111.9412567,33.4219341,,,
,13,,,,,,,,-111.9412547,33.4217,,,boundary node created by osm2gmns
,14,41662590,traffic_signals,,signal,,,,-111.9400858,33.4219347,,,
,15,2239876816,crossing,,,,,,-111.9401025,33.421787,,,
,16,,,,,,,,-111.9401023,33.4217,,,boundary node created by osm2gmns
,17,41714336,traffic_signals,,signal,,,,-111.936661,33.4219091,,,
,18,2488540196,,,,,,,-111.936563,33.4219081,,,
,19,,,,,,,,-111.9364,33.4219089,,,boundary node created by osm2gmns
,20,337713512,,,,,,,-111.9394077,33.4255068,,,
,21,5345624069,,,,,,,-111.939287,33.4255037,,,
,22,5345624072,,,,,,,-111.939042,33.4255044,,,
,23,5266180470,,,,,,,-111.938837,33.425505,,,
,24,6700916820,crossing,,,,,,-111.938274,33.4255065,,,
,25,2626664040,,,,,,,-111.938166,33.4255068,,,
,26,10741122923,,,,,,,-111.9372279,33.4255094,,,
,27,10290615120,,,,,,,-111.937086,33.4255098,,,
,28,3101274975,crossing,,,,,,-111.936771,33.4255107,,,
,29,41746580,,,,,,,-111.9366724,33.425511,,,
,30,2065989266,traffic_signals,,signal,,,,-111.9381506,33.4218987,,,
,31,2239876822,,,,,,,-111.938149,33.4218417,,,
,32,,,,,,,,-111.9381472,33.4217,,,boundary node created by osm2gmns
,33,2625359013,traffic_signals,,signal,,,,-111.9399709,33.4231952,,,
,34,5415307196,crossing,,,,,,-111.9398828,33.4231969,,,
,35,5707494418,,,,,,,-111.9394076,33.4231921,,,
,36,11098855147,,,,,,,-111.9391983,33.4231924,,,
,37,10760308506,,,,,,,-111.939138,33.4231925,,,
,38,11098855145,,,,,,,-111.9387027,33.423193,,,
,39,335714549,,,,,,,-111.938692,33.423193,,,
,40,42273739,,,,,,,-111.9381685,33.4231955,,,
,41,5415307210,crossing,,,,,,-111.938058,33.4231968,,,
,42,6700916757,,,,,,,-111.9370222,33.4232024,,,
,43,5415311190,crossing,,,,,,-111.9367664,33.4232043,,,
,44,41957870,,,,,,,-111.9366654,33.4232048,,,
,45,5415311208,crossing,,,,,,-111.936558,33.4232063,,,
,46,,,,,,,,-111.9364,33.4232065,,,boundary node created by osm2gmns
,47,,,,,,,,-111.9366469,33.4257,,,boundary node created by osm2gmns
,48,6786309082,crossing,,,,,,-111.9366708,33.4256131,,,
,49,5415295738,crossing,,,,,,-111.936671,33.425399,,,
,50,7121918885,,,,,,,-111.9366697,33.4248479,,,
,51,5415311338,,,,,,,-111.9366683,33.4244745,,,
