name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,13266043,,,,,,,-111.9613752,33.3872759,,,
,1,13266047,,,,,,,-111.9584674,33.3865284,,,
,2,13365838,,,,,,,-111.8928901,33.3799735,,,
,3,41190566,,,,,,,-111.9765412,33.387129,,,
,4,41190568,,,,,,,-111.9765756,33.3887988,,,
,5,41190571,,,,,,,-111.9765326,33.3906908,,,
,6,41190597,,,,,,,-111.9556206,33.3928475,,,
,7,41190600,,,,,,,-111.9556206,33.3923387,,,
,8,41190606,,,,,,,-111.9551399,33.3897087,,,
,9,41190607,,,,,,,-111.9551914,33.3904182,,,
,10,41190610,,,,,,,-111.9551828,33.3911491,,,
,11,41190613,turning_circle,,,,,,-111.9551571,33.3923244,,,
,12,41190619,turning_circle,,,,,,-111.9552746,33.3873886,,,
,13,41190622,,,,,,,-111.9552086,33.3865984,,,
,14,41190628,,,,,,,-111.9569264,33.3714005,,,
,15,41190631,,,,,,,-111.9564543,33.3720528,,,
,16,41190634,,,,,,,-111.9561584,33.3723989,,,
,17,41190644,,,,,,,-111.9558304,33.3726506,,,
,18,41190651,,,,,,,-111.9581995,33.3707565,,,
,19,41190654,,,,,,,-111.9572792,33.3716094,,,
,20,41190687,,,,,,,-111.8962446,33.400612,,,
,21,41190689,,,,,,,-111.894493,33.4006187,,,
,22,41190693,,,,,,,-111.893678,33.4006219,,,
,23,41190698,,,,,,,-111.8920213,33.4006283,,,
,24,41190707,,,,,,,-111.8962532,33.4002322,,,
,25,41190709,,,,,,,-111.8973054,33.4002384,,,
,26,41190714,,,,,,,-111.8997258,33.4002384,,,
,27,41190717,,,,,,,-111.9005361,33.4002251,,,
,28,41190722,,,,,,,-111.9011792,33.4002337,,,
,29,41190725,,,,,,,-111.9021891,33.4002169,,,
,30,41190728,,,,,,,-111.9031934,33.4001524,,,
,31,41190732,,,,,,,-111.9041338,33.4001515,,,
,32,41190735,,,,,,,-111.9063213,33.4001518,,,
,33,41190739,,,,,,,-111.9073825,33.4001524,,,
,34,41190744,,,,,,,-111.9084576,33.400148,,,
,35,41190746,traffic_signals,,signal,,,,-111.909133,33.4001487,,,
,36,41190750,,,,,,,-111.909674,33.400147,,,
,37,41190754,,,,,,,-111.9106696,33.3998786,,,
,38,41190758,,,,,,,-111.9116133,33.3995853,,,
,39,41190762,,,,,,,-111.9127316,33.3992751,,,
,40,41190767,,,,,,,-111.9133634,33.3991494,,,
,41,41190773,,,,,,,-111.9161644,33.3991081,,,
,42,41190777,turning_circle,,,,,,-111.9167437,33.3992226,,,
,43,41190787,turning_circle,,,,,,-111.9021977,33.4004391,,,
,44,41190806,turning_circle,,,,,,-111.9011792,33.4005112,,,
,45,41190810,turning_circle,,,,,,-111.9084449,33.4005639,,,
,46,41190815,turning_circle,,,,,,-111.9073825,33.4005537,,,
,47,41190820,turning_circle,,,,,,-111.9063128,33.4004413,,,
,48,41190824,traffic_signals,,signal,,,,-111.939702,33.4001158,,,
,49,41190826,,,,,,,-111.937499,33.4001269,,,
,50,41190834,,,,,,,-111.9324546,33.4001882,,,
,51,41190837,,,,,,,-111.9306007,33.4002025,,,
,52,41190839,,,,,,,-111.928231,33.4002179,,,
,53,41190840,,,,,,,-111.9273563,33.400224,,,
,54,41190841,traffic_signals,,signal,,,,-111.926312,33.4002314,,,
,55,41190864,,,,,,,-111.9050645,33.4011258,,,
,56,41190865,turning_circle,,,,,,-111.9050555,33.4014572,,,
,57,41190902,,,,,,,-111.9734513,33.3918302,,,
,58,41190905,,,,,,,-111.9740521,33.3918302,,,
,59,41190907,,,,,,,-111.9754662,33.3918311,,,
,60,41190911,,,,,,,-111.9759404,33.3908126,,,
,61,41199641,,,,,,,-111.8988453,33.3858332,,,
,62,41200170,,,,,,,-111.9261595,33.4350221,,,
,63,41203110,traffic_signals,,signal,,,,-111.968627,33.3783682,,,
,64,41203120,,,,,,,-111.9681462,33.3725022,,,
,65,41206114,,,,,,,-111.9779053,33.4272037,,,
,66,41206118,motorway_junction,,,,,,-111.9781222,33.4163978,,,
,67,41216712,,,,,,,-111.9785276,33.4116604,,,
,68,41216716,traffic_signals,,signal,,,,-111.9781846,33.4093419,11,,
,69,41216719,traffic_signals,,signal,,,,-111.9782891,33.4073275,,,
,70,41218599,,,,,,,-111.8944352,33.3505344,,,
,71,41222556,traffic_signals,,signal,,,,-111.939382,33.3782279,,,
,72,41222557,,,,,,,-111.9384317,33.3792272,,,
,73,41233764,,,,,,,-111.9372308,33.3782354,,,
,74,41241818,motorway_junction,,,,,,-111.9782739,33.4329419,,,
,75,41245356,,,,,,,-111.9361306,33.3782354,,,
,76,41245365,,,,,,,-111.9372318,33.3794737,,,
,77,41245407,,,,,,,-111.9234127,33.3346715,,,
,78,41245417,,,,,,,-111.9233183,33.3318748,,,
,79,41245420,,,,,,,-111.9228805,33.3314804,,,
,80,41245428,,,,,,,-111.9223999,33.330376,,,
,81,41245432,,,,,,,-111.9227089,33.32958,,,
,82,41245435,,,,,,,-111.9240307,33.329372,,,
,83,41259724,motorway_junction,,,,,,-111.933892,33.3857087,,,
,84,41259725,traffic_signals,,signal,,,,-111.939408,33.3860335,53,,
,85,41259728,,,,,,,-111.9442985,33.3856779,,,
,86,41263539,traffic_signals,,signal,,,,-111.972937,33.3344314,15,,
,87,41263540,,,,,,,-111.9723758,33.3289499,,,
,88,41267584,,,,,,,-111.9723975,33.3429748,,,
,89,41267591,traffic_signals,,signal,,,,-111.972792,33.34918,,,
,90,41267598,motorway_junction,,,,,,-111.9711154,33.3546267,,,
,91,41280988,,,,,,,-111.908755,33.3594637,,,
,92,41280990,,,,,,,-111.9081627,33.3599727,,,
,93,41298987,,,,,,,-111.9320793,33.3847713,,,
,94,41298988,turning_circle,,,,,,-111.932083,33.3845928,,,
,95,41319297,traffic_signals,,signal,,,,-111.93941,33.3850998,24,,
,96,41329906,,,,,,,-111.9322288,33.3856889,,,
,97,41329910,traffic_signals,,signal,,,,-111.92638,33.3850384,,,
,98,41329915,motorway_junction,,,,,,-111.9186492,33.3858203,,,
,99,41330869,,,,,,,-111.9214042,33.3316382,,,
,100,41330875,,,,,,,-111.9203399,33.3316453,,,
,101,41330885,,,,,,,-111.9208978,33.3347002,,,
,102,41330886,,,,,,,-111.9208863,33.3339193,,,
,103,41330888,,,,,,,-111.9208593,33.3327662,,,
,104,41331491,turning_circle,,,,,,-111.9224771,33.3317672,,,
,105,41331510,turning_circle,,,,,,-111.9230779,33.3303473,,,
,106,41331521,turning_circle,,,,,,-111.9225008,33.3276079,,,
,107,41332545,,,,,,,-111.8947971,33.3531164,,,
,108,41337413,traffic_signals,,signal,,,,-111.960891,33.3880573,,,
,109,41347510,,,,,,,-111.9152171,33.3857964,,,
,110,41350650,motorway_junction,,,,,,-111.9584696,33.3868388,,,
,111,41350692,motorway_junction,,,,,,-111.9673673,33.3846973,,,
,112,41350702,,,,,,,-111.9659871,33.386919,,,
,113,41350988,,,,,,,-111.9729707,33.3881037,,,
,114,41351447,traffic_signals,,signal,,,,-111.90906,33.3851769,22,,
,115,41359336,traffic_signals,,signal,,,,-111.970946,33.3491911,,,
,116,41359339,motorway_junction,,,,,,-111.9721013,33.3429747,,,
,117,41372709,,,,,,,-111.9240135,33.3317314,,,
,118,41393948,,,,,,,-111.9758092,33.3402,,,
,119,41396797,,,,,,,-111.9614835,33.3876863,,,
,120,41406381,,,,,,,-111.9783144,33.4047966,,,
,121,41406386,,,,,,,-111.9771649,33.4049159,,,
,122,41423742,,,,,,,-111.9721059,33.3404847,,,
,123,41423743,traffic_signals,,signal,,,,-111.971469,33.3344345,54,,
,124,41423746,motorway_junction,,,,,,-111.9720713,33.3289718,,,
,125,41423755,,,,,,,-111.9634202,33.3878163,,,
,126,41434272,,,,,,,-111.9470039,33.3582624,,,
,127,41434276,,,,,,,-111.9470045,33.3586501,,,
,128,41448042,,,,,,,-111.9048281,33.3397667,,,
,129,41448046,turning_circle,,,,,,-111.9046658,33.3395154,,,
,130,41459438,,,,,,,-111.9275131,33.4245054,,,
,131,41463074,,,,,,,-111.9356178,33.3414045,,,
,132,41463079,,,,,,,-111.9347922,33.3405199,,,
,133,41463081,turning_circle,,,,,,-111.9351724,33.3405236,,,
,134,41464957,turning_circle,,,,,,-111.9173461,33.3865049,,,
,135,41480396,,,,,,,-111.925926,33.4362118,,,
,136,41483049,,,,,,,-111.9412352,33.4356664,,,
,137,41489917,motorway_junction,,,,,,-111.9847319,33.4108083,,,
,138,41489923,motorway_junction,,,,,,-111.9789798,33.4093631,,,
,139,41492519,traffic_signals,,signal,,,,-111.926358,33.3861649,55,,
,140,41493057,motorway_junction,,,,,,-111.9783375,33.414523,,,
,141,41493554,,,,,,,-111.9627182,33.3942918,,,
,142,41493557,,,,,,,-111.9627208,33.3928351,,,
,143,41493564,,,,,,,-111.9627154,33.4257042,,,
,144,41493567,,,,,,,-111.962711,33.4249739,,,
,145,41493571,,,,,,,-111.9627638,33.4242715,,,
,146,41493573,,,,,,,-111.9627638,33.4235623,,,
,147,41493577,,,,,,,-111.9627797,33.4228535,,,
,148,41493581,,,,,,,-111.9627638,33.4219433,,,
,149,41493587,,,,,,,-111.9631967,33.4135712,,,
,150,41493589,,,,,,,-111.9632554,33.4116026,,,
,151,41493597,turning_circle,,,,,,-111.9449175,33.3880747,,,
,152,41493599,,,,,,,-111.9469088,33.3879601,,,
,153,41493604,turning_circle,,,,,,-111.9488829,33.3884402,,,
,154,41493605,,,,,,,-111.9525301,33.3886376,,,
,155,41493616,turning_circle,,,,,,-111.956127,33.3880962,,,
,156,41493623,traffic_signals,,signal,,,,-111.939524,33.3882056,,,
,157,41493626,turning_circle,,,,,,-111.9417306,33.3882651,,,
,158,41493631,,,,,,,-111.9696692,33.3868319,,,
,159,41493632,,,,,,,-111.9706306,33.3868104,,,
,160,41493635,,,,,,,-111.9716114,33.3867864,,,
,161,41493638,turning_circle,,,,,,-111.972487,33.3867511,,,
,162,41493657,,,,,,,-111.9569939,33.3880819,,,
,163,41493659,,,,,,,-111.9578951,33.3880891,,,
,164,41493662,,,,,,,-111.9587706,33.3880891,,,
,165,41494580,,,,,,,-111.9100648,33.3414862,,,
,166,41494583,,,,,,,-111.9073612,33.3415149,,,
,167,41494584,,,,,,,-111.9037616,33.341565,,,
,168,41494587,turning_circle,,,,,,-111.9026746,33.3415661,,,
,169,41494593,,,,,,,-111.9198725,33.341958,,,
,170,41494596,,,,,,,-111.9209018,33.3419081,,,
,171,41494598,,,,,,,-111.9253594,33.3419257,,,
,172,41494600,,,,,,,-111.9274193,33.3419328,,,
,173,41494603,traffic_signals,,signal,,,,-111.928454,33.3419233,,,
,174,41494608,,,,,,,-111.9306147,33.3419219,,,
,175,41494615,,,,,,,-111.9327747,33.3419261,,,
,176,41494621,,,,,,,-111.935617,33.3419429,,,
,177,41494627,,,,,,,-111.9371108,33.3419396,,,
,178,41494635,,,,,,,-111.9148403,33.3414441,,,
,179,41494651,,,,,,,-111.9284253,33.3751862,,,
,180,41494653,turning_circle,,,,,,-111.9253697,33.3752077,,,
,181,41495322,,,,,,,-111.9080581,33.3747897,,,
,182,41495323,,,,,,,-111.9080661,33.3739955,,,
,183,41495325,,,,,,,-111.9079465,33.3732343,,,
,184,41495327,,,,,,,-111.907732,33.372453,,,
,185,41495330,,,,,,,-111.9075346,33.3716646,,,
,186,41495333,,,,,,,-111.9074831,33.3706897,,,
,187,41495335,,,,,,,-111.9073371,33.3699156,,,
,188,41495338,,,,,,,-111.9072771,33.3690984,,,
,189,41495340,,,,,,,-111.9076032,33.3682024,,,
,190,41495341,,,,,,,-111.9077835,33.3674211,,,
,191,41495344,,,,,,,-111.9077577,33.3666326,,,
,192,41495347,,,,,,,-111.908041,33.3660161,,,
,193,41495355,,,,,,,-111.9076461,33.36431,,,
,194,41495358,turning_circle,,,,,,-111.9076461,33.3649982,,,
,195,41495362,,,,,,,-111.9046885,33.4050408,,,
,196,41495364,,,,,,,-111.9046646,33.4040657,,,
,197,41495369,,,,,,,-111.9043213,33.4031916,,,
,198,41495372,,,,,,,-111.9041239,33.4024965,,,
,199,41495374,,,,,,,-111.9041153,33.4017585,,,
,200,41495378,,,,,,,-111.9041153,33.4011279,,,
,201,41495383,,,,,,,-111.9041404,33.3988463,,,
,202,41495386,,,,,,,-111.9041371,33.3981008,,,
,203,41495390,,,,,,,-111.9041356,33.3973517,,,
,204,41495392,,,,,,,-111.9041466,33.3966,,,
,205,41495395,,,,,,,-111.9041968,33.3958481,,,
,206,41495398,,,,,,,-111.9044526,33.3950992,,,
,207,41495401,,,,,,,-111.9046483,33.3945675,,,
,208,41495405,,,,,,,-111.9048301,33.3938708,,,
,209,41495407,traffic_signals,,signal,,,,-111.904854,33.392961,,,
,210,41495409,,,,,,,-111.9048492,33.3913136,,,
,211,41495412,,,,,,,-111.9048578,33.3905182,,,
,212,41495415,,,,,,,-111.904866,33.389747,,,
,213,41495418,,,,,,,-111.90487,33.3889534,,,
,214,41495421,,,,,,,-111.904874,33.3881478,,,
,215,41495425,,,,,,,-111.9048817,33.3873617,,,
,216,41495434,,,,,,,-111.9068428,33.3549372,,,
,217,41495437,,,,,,,-111.906963,33.3544712,,,
,218,41495440,turning_circle,,,,,,-111.9071689,33.35374,,,
,219,41495444,,,,,,,-111.9053906,33.3848444,,,
,220,41495447,,,,,,,-111.9053962,33.383007,,,
,221,41495450,turning_circle,,,,,,-111.9054703,33.3825125,,,
,222,41495455,turning_circle,,,,,,-111.9055771,33.3399608,,,
,223,41495458,,,,,,,-111.9056374,33.3395912,,,
,224,41495459,,,,,,,-111.9057349,33.3387178,,,
,225,41495465,,,,,,,-111.9057364,33.3379217,,,
,226,41495466,,,,,,,-111.9058909,33.3374126,,,
,227,41495472,,,,,,,-111.9062084,33.336631,,,
,228,41495474,,,,,,,-111.9062514,33.3359856,,,
,229,41495476,,,,,,,-111.9062509,33.335195,,,
,230,41495477,,,,,,,-111.9062508,33.3346892,,,
,231,41495478,,,,,,,-111.9062686,33.3337334,,,
,232,41495479,,,,,,,-111.90626,33.3329087,,,
,233,41495484,,,,,,,-111.9062428,33.332084,,,
,234,41495487,,,,,,,-111.9060111,33.3312521,,,
,235,41495494,,,,,,,-111.9038379,33.3423495,,,
,236,41495497,,,,,,,-111.9042112,33.3430421,,,
,237,41495505,,,,,,,-111.9046918,33.3438309,,,
,238,41495508,,,,,,,-111.905121,33.3445479,,,
,239,41495510,,,,,,,-111.9055443,33.3452689,,,
,240,41495514,,,,,,,-111.9059581,33.345969,,,
,241,41495520,,,,,,,-111.9063867,33.3466641,,,
,242,41495523,,,,,,,-111.9067775,33.3476382,,,
,243,41495529,,,,,,,-111.9068385,33.3482309,,,
